,Test,Die,VDD (V),,,,Id1 (mA),Id2 ( mA),Freq (GHz),Pin (dBm),,Pin (dBm),,Pout (dBm),Gain (dB),,,,,,,,,,,
694255,POW1,AH59,4,#,#,#,38.75,88.47,9,-6,#,-6.047625,#,15.551,21.551,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.48,87.58,12,-6,#,-6.049875,#,15.727,21.727,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.34,86.48,15,-6,#,-6.049625,#,15.928,21.928,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.32,84.32,18,-6,#,-6.0145,#,14.532,20.532,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,39.46,92.09,6,-5,#,-5.049188,#,16.32,21.32,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.85,89.62,9,-5,#,-5.058625,#,16.1,21.1,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.49,89.18,12,-5,#,-5.078875,#,16.274,21.274,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.36,87.76,15,-5,#,-5.058625,#,16.522,21.522,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.33,85.12,18,-5,#,-5.0235,#,15.405,20.405,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,39.38,92.33,6,-4,#,-4.040188,#,16.474,20.474,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.97,90.72,9,-4,#,-4.063625,#,16.504,20.504,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.56,91.26,12,-4,#,-4.065875,#,16.713,20.713,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.38,89.46,15,-4,#,-4.069625,#,16.991,20.991,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.35,86.19,18,-4,#,-4.0205,#,16.205,20.205,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.95,92.05,6,-3,#,-3.016188,#,16.517,19.517,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,39.17,91.37,9,-3,#,-3.039625,#,16.797,19.797,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.63,93.62,12,-3,#,-3.037875,#,17.055,20.055,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.42,91.5,15,-3,#,-3.060625,#,17.373,20.373,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.39,87.73,18,-3,#,-3.0335,#,16.859,19.859,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.22,91.1,6,-2,#,-1.992188,#,16.575,18.575,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,39.39,91.46,9,-2,#,-2.035625,#,17.016,19.016,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.72,96.17,12,-2,#,-2.041875,#,17.327,19.327,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.48,93.79,15,-2,#,-2.054625,#,17.683,19.683,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.41,89.57,18,-2,#,-2.0085,#,17.419,19.419,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,37.2,89.36,6,-1,#,-0.956188,#,16.684,17.684,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,39.68,91.01,9,-1,#,-1.026625,#,17.19,18.19,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.85,98.58,12,-1,#,-1.041875,#,17.527,18.527,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.53,96.38,15,-1,#,-1.048625,#,17.936,18.936,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.43,91.68,18,-1,#,-1.0065,#,17.888,18.888,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,35.98,87.76,6,0,#,0.123812,#,16.83,16.83,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,40.04,90.01,9,0,#,-0.010625,#,17.328,17.328,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,39.03,101,12,0,#,-0.033875,#,17.658,17.658,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.63,99.38,15,0,#,-0.048625,#,18.153,18.153,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.48,94.02,18,0,#,-0.0115,#,18.276,18.276,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,34.64,86.75,6,1,#,1.159812,#,16.982,15.982,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,40.52,88.65,9,1,#,1.015375,#,17.448,16.448,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,39.27,103.39,12,1,#,0.991125,#,17.759,16.759,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.75,102.8,15,1,#,0.965375,#,18.348,17.348,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.55,96.9,18,1,#,1.0135,#,18.604,17.604,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,33.27,85.88,6,2,#,2.172812,#,17.128,15.128,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,41.07,87.37,9,2,#,2.028375,#,17.528,15.528,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,39.64,105.67,12,2,#,2.002125,#,17.836,15.836,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.93,106.47,15,2,#,1.974375,#,18.514,16.514,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH59,4,#,#,#,38.68,100.16,18,2,#,2.0375,#,18.877,16.877,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.21,83.06,6,-13,#,-13.02619,#,10.351,23.351,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.2,82.1,9,-13,#,-12.96762,#,9.259,22.259,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.13,81.99,12,-13,#,-13.01388,#,9.446,22.446,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.05,81.83,15,-13,#,-13.02662,#,9.595,22.595,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.02,81.29,18,-13,#,-13.0115,#,7.733,20.733,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.33,83.82,6,-12,#,-12.01419,#,11.314,23.314,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.18,82.58,9,-12,#,-11.96262,#,10.243,22.243,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.13,82.32,12,-12,#,-11.95787,#,10.473,22.473,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.03,82.12,15,-12,#,-12.00962,#,10.581,22.581,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.01,81.45,18,-12,#,-11.9985,#,8.746,20.746,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.43,84.65,6,-11,#,-11.01619,#,12.263,23.263,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.23,83.1,9,-11,#,-10.96862,#,11.198,22.198,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.14,82.76,12,-11,#,-10.97888,#,11.404,22.404,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.06,82.4,15,-11,#,-11.04263,#,11.507,22.507,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37,81.63,18,-11,#,-10.9925,#,9.713,20.713,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.51,85.64,6,-10,#,-10.05019,#,13.151,23.151,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.25,83.69,9,-10,#,-10.02763,#,12.087,22.087,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.1,83.18,12,-10,#,-10.02787,#,12.288,22.288,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.04,82.83,15,-10,#,-10.05262,#,12.43,22.43,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.04,81.84,18,-10,#,-9.9965,#,10.686,20.686,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.59,86.87,6,-9,#,-9.044188,#,14.037,23.037,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.25,84.46,9,-9,#,-9.025625,#,13.021,22.021,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.14,83.79,12,-9,#,-9.024875,#,13.212,22.212,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.06,83.33,15,-9,#,-9.039625,#,13.364,22.364,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.06,82.15,18,-9,#,-8.9965,#,11.663,20.663,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.7,88.32,6,-8,#,-8.044188,#,14.829,22.829,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.36,85.37,9,-8,#,-8.039625,#,13.908,21.908,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.15,84.57,12,-8,#,-8.035875,#,14.078,22.078,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.06,83.91,15,-8,#,-8.038625,#,14.252,22.252,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.04,82.5,18,-8,#,-8.0015,#,12.613,20.613,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.87,89.71,6,-7,#,-7.048188,#,15.467,22.467,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.4,86.43,9,-7,#,-7.041625,#,14.745,21.745,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.17,85.49,12,-7,#,-7.048875,#,14.89,21.89,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.06,84.64,15,-7,#,-7.055625,#,15.076,22.076,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.07,82.96,18,-7,#,-7.0245,#,13.535,20.535,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,38.05,90.84,6,-6,#,-6.046188,#,15.971,21.971,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.46,87.6,9,-6,#,-6.042625,#,15.473,21.473,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.19,86.76,12,-6,#,-6.047875,#,15.613,21.613,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.11,85.65,15,-6,#,-6.050625,#,15.83,21.83,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.06,83.54,18,-6,#,-6.0165,#,14.456,20.456,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,38.21,91.55,6,-5,#,-5.055188,#,16.313,21.313,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.58,88.83,9,-5,#,-5.051625,#,16.032,21.032,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.26,88.44,12,-5,#,-5.076875,#,16.164,21.164,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.13,86.98,15,-5,#,-5.059625,#,16.434,21.434,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.05,84.35,18,-5,#,-5.0255,#,15.325,20.325,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,38.2,91.91,6,-4,#,-4.048188,#,16.494,20.494,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.73,90.03,9,-4,#,-4.057625,#,16.444,20.444,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.31,90.54,12,-4,#,-4.062875,#,16.616,20.616,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.16,88.71,15,-4,#,-4.069625,#,16.91,20.91,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.09,85.49,18,-4,#,-4.0245,#,16.127,20.127,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.9,91.78,6,-3,#,-3.022188,#,16.55,19.55,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.89,90.75,9,-3,#,-3.034625,#,16.737,19.737,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.36,92.97,12,-3,#,-3.038875,#,16.973,19.973,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.15,90.78,15,-3,#,-3.060625,#,17.302,20.302,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.14,87.07,18,-3,#,-3.0355,#,16.785,19.785,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.21,90.79,6,-2,#,-2.001188,#,16.605,18.605,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,38.13,90.94,9,-2,#,-2.028625,#,16.959,18.959,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.45,95.49,12,-2,#,-2.033875,#,17.252,19.252,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.23,93.04,15,-2,#,-2.042625,#,17.621,19.621,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.16,88.94,18,-2,#,-2.0115,#,17.351,19.351,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,36.26,88.97,6,-1,#,-0.970188,#,16.711,17.711,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,38.39,90.56,9,-1,#,-1.018625,#,17.127,18.127,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.6,98.01,12,-1,#,-1.035875,#,17.448,18.448,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.28,95.68,15,-1,#,-1.050625,#,17.881,18.881,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.21,91.06,18,-1,#,-1.0095,#,17.83,18.83,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,35.03,87.23,6,0,#,0.111812,#,16.847,16.847,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,38.78,89.69,9,0,#,-0.002625,#,17.278,17.278,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.8,100.49,12,0,#,-0.033875,#,17.59,17.59,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.37,98.67,15,0,#,-0.045625,#,18.098,18.098,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.23,93.49,18,0,#,-0.0115,#,18.226,18.226,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,33.77,86.24,6,1,#,1.148812,#,16.99,15.99,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,39.26,88.34,9,1,#,1.023375,#,17.392,16.392,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,38.05,102.89,12,1,#,0.996125,#,17.688,16.688,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.49,102.14,15,1,#,0.964375,#,18.293,17.293,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.32,96.35,18,1,#,1.0095,#,18.558,17.558,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,32.43,85.51,6,2,#,2.160812,#,17.128,15.128,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,39.87,87.12,9,2,#,2.037375,#,17.478,15.478,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,38.42,105.12,12,2,#,2.006125,#,17.771,15.771,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.66,105.78,15,2,#,1.977375,#,18.465,16.465,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH60,4,#,#,#,37.4,99.64,18,2,#,2.0335,#,18.831,16.831,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.26,83.19,6,-13,#,-13.02919,#,10.129,23.129,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.2,82.19,9,-13,#,-12.97262,#,9.049,22.049,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.16,82.09,12,-13,#,-13.02387,#,9.263,22.263,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.06,81.86,15,-13,#,-13.03363,#,9.448,22.448,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.03,81.31,18,-13,#,-13.0095,#,7.664,20.664,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.38,83.96,6,-12,#,-12.01619,#,11.092,23.092,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.21,82.69,9,-12,#,-11.96762,#,10.031,22.031,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.13,82.41,12,-12,#,-11.96387,#,10.285,22.285,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.05,82.14,15,-12,#,-12.01863,#,10.421,22.421,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.06,81.46,18,-12,#,-11.9965,#,8.653,20.653,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.49,84.8,6,-11,#,-11.01819,#,12.039,23.039,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.23,83.22,9,-11,#,-10.97563,#,10.987,21.987,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.15,82.81,12,-11,#,-10.98787,#,11.22,22.22,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.08,82.44,15,-11,#,-11.04563,#,11.353,22.353,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.07,81.64,18,-11,#,-10.9895,#,9.639,20.639,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.55,85.84,6,-10,#,-10.05419,#,12.929,22.929,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.27,83.84,9,-10,#,-10.03862,#,11.87,21.87,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.16,83.28,12,-10,#,-10.03587,#,12.1,22.1,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.06,82.9,15,-10,#,-10.05562,#,12.277,22.277,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.07,81.91,18,-10,#,-9.9945,#,10.615,20.615,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.71,87.16,6,-9,#,-9.048188,#,13.829,22.829,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.31,84.62,9,-9,#,-9.034625,#,12.809,21.809,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.17,83.92,12,-9,#,-9.033875,#,13.023,22.023,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.11,83.38,15,-9,#,-9.040625,#,13.211,22.211,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.04,82.19,18,-9,#,-8.9935,#,11.583,20.583,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.78,88.74,6,-8,#,-8.049188,#,14.664,22.664,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.39,85.59,9,-8,#,-8.048625,#,13.702,21.702,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.2,84.68,12,-8,#,-8.043875,#,13.9,21.9,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.11,84.03,15,-8,#,-8.041625,#,14.102,22.102,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.07,82.6,18,-8,#,-8.0005,#,12.531,20.531,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.97,90.39,6,-7,#,-7.054188,#,15.365,22.365,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.43,86.7,9,-7,#,-7.051625,#,14.561,21.561,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.19,85.6,12,-7,#,-7.057875,#,14.72,21.72,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.12,84.79,15,-7,#,-7.058625,#,14.935,21.935,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.1,83.04,18,-7,#,-7.0215,#,13.451,20.451,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,38.13,91.93,6,-6,#,-6.048188,#,15.922,21.922,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.53,88.05,9,-6,#,-6.049625,#,15.337,21.337,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.23,86.92,12,-6,#,-6.057875,#,15.47,21.47,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.12,85.75,15,-6,#,-6.051625,#,15.715,21.715,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.07,83.66,18,-6,#,-6.0135,#,14.377,20.377,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,38.29,93.05,6,-5,#,-5.058188,#,16.306,21.306,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.62,89.46,9,-5,#,-5.060625,#,15.956,20.956,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.27,88.6,12,-5,#,-5.084875,#,16.062,21.062,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.15,87.12,15,-5,#,-5.060625,#,16.357,21.357,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.13,84.49,18,-5,#,-5.0235,#,15.249,20.249,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,38.37,93.82,6,-4,#,-4.050188,#,16.529,20.529,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.77,90.88,9,-4,#,-4.066625,#,16.415,20.415,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.31,90.86,12,-4,#,-4.070875,#,16.557,20.557,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.17,88.89,15,-4,#,-4.070625,#,16.864,20.864,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.13,85.68,18,-4,#,-4.0205,#,16.062,20.062,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,38.14,94.15,6,-3,#,-3.026188,#,16.605,19.605,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.96,91.98,9,-3,#,-3.049625,#,16.743,19.743,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.39,93.39,12,-3,#,-3.042875,#,16.949,19.949,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.22,91.03,15,-3,#,-3.062625,#,17.283,20.283,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.16,87.3,18,-3,#,-3.0325,#,16.745,19.745,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.51,93.66,6,-2,#,-2.008188,#,16.657,18.657,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,38.15,92.46,9,-2,#,-2.034625,#,16.989,18.989,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.51,96.14,12,-2,#,-2.043875,#,17.26,19.26,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.25,93.33,15,-2,#,-2.050625,#,17.621,19.621,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.17,89.31,18,-2,#,-2.0135,#,17.338,19.338,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,36.57,92.06,6,-1,#,-0.977188,#,16.775,17.775,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,38.5,92.31,9,-1,#,-1.025625,#,17.176,18.176,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.65,98.87,12,-1,#,-1.048875,#,17.489,18.489,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.31,96.01,15,-1,#,-1.046625,#,17.896,18.896,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.25,91.47,18,-1,#,-1.0095,#,17.837,18.837,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,35.41,90.08,6,0,#,0.101812,#,16.929,16.929,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,38.86,91.52,9,0,#,-0.012625,#,17.329,17.329,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.83,101.51,12,0,#,-0.040875,#,17.636,17.636,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.39,99.05,15,0,#,-0.046625,#,18.119,18.119,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AH62,4,#,#,#,37.28,93.92,18,0,#,-0.0055,#,18.249,18.249,#,#,#,#,#,#,#,#,#,#,#
